model_id,case_id,run_id,backend,variant,presence,representation_count,primary_setup_id,mirror_setup_id,primary_source_path,mirror_source_path,primary_row_sha256,mirror_row_sha256,mirror_copy_manifest
mobilenet_v3_large,b001,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_deepx_m1_to_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b001/results_deepx_m1_to_tensorrt/validation_report.json,b1f70a65d5f192d35874030cee21d99665b987fdde8a2a9c7eef5b6c3dc3d677,8284feee6bcc402350a8cd97c48c8513aeef4bbf495f5b2aebd519377cb2706a,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b001,hailo10_to_trt,hailo10_to_tensorrt,split,present,2,,orin_nx_hailo10_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo10_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/case_reports/results/b001/results_hailo10_to_trt/validation_report.json,64c2a9b279a3192ef3b1cd793487a2a35fe5b1f795209b98f05e286cc87ff2cc,550bf0dbb6f2e0606cc0d1a4ee02edb9f0457e167144d78c6dd5314d625eaacd,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/result_copy_manifest.json
mobilenet_v3_large,b001,hailo8_to_trt,hailo8_to_tensorrt,split,present,2,,orin_nx_hailo8_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo8_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/case_reports/results/b001/results_hailo8_to_trt/validation_report.json,141333ec3fcfa6c3b456710b39ea3d590d4447ee2eb7d9975700bec15e831dea,3c12a7278b5b4854d1a4f84ab050f61544bfd9331a212f89a4c2a5ca2e385752,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/result_copy_manifest.json
mobilenet_v3_large,b001,ort_tensorrt,tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_ort_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b001/results_ort_tensorrt/validation_report.json,043b1b0f8408705fe41a4d4bfbc22886f265741e589835908726f68bfb5fc9ea,cd4f1d74c861adb00df45ae1c53cd5b23a48fa2fef9dd96826fba1d501543236,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b006,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_deepx_m1_to_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b006/results_deepx_m1_to_tensorrt/validation_report.json,32bafea31caba2acbee019c6214fcb5a1c44df29089613316bf1536321a3494d,f73a69aec4aefd1ff8c7f5777fd88223b692dc29740185971132446333f273bd,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b006,hailo10_to_trt,hailo10_to_tensorrt,split,present,2,,orin_nx_hailo10_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo10_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/case_reports/results/b006/results_hailo10_to_trt/validation_report.json,1348de5193d72e5e28d101500f8f4133a3b22c394bba361fa38f595486a0b3c1,9a7cda65fa97c8b2f3508fcd07386f5f8d9de44f44dc4677a2a117d58f6ee720,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/result_copy_manifest.json
mobilenet_v3_large,b006,hailo8_to_trt,hailo8_to_tensorrt,split,present,2,,orin_nx_hailo8_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo8_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/case_reports/results/b006/results_hailo8_to_trt/validation_report.json,27c9c5a9fb218778f618adf1a14e7ec0cebf2f935cfe2c273717a16c540b74b7,11e8f930195ed03a1e5abcb7bd59d5904ed559045037f967e472dea30073ad16,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo8_01/result_copy_manifest.json
mobilenet_v3_large,b006,ort_tensorrt,tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_ort_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b006/results_ort_tensorrt/validation_report.json,215494425fca98168985cfe4989000d3ca258a33f7b72a830ffdb409ea77d37b,763cba4342d98926a33a92345b3b9486dcd7dc651ca1e32c5a0f5cc35a9fc2c8,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b008,deepx_m1_to_tensorrt,deepx_m1_to_tensorrt,split,present,2,,orin_nx_deepx_m1_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_deepx_m1_to_tensorrt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/case_reports/results/b008/results_deepx_m1_to_tensorrt/validation_report.json,a9b6e146ed4ce9e0aff854ff7d054d3c69735f164902ca7c9da9c952a4e30c84,63387457002f9ab2a94e2848b4bf75122af80031683e93fd11c7e22bf46e493a,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_deepx_m1_01/result_copy_manifest.json
mobilenet_v3_large,b008,hailo10_to_trt,hailo10_to_tensorrt,split,present,2,,orin_nx_hailo10_01,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/benchmark_results_hailo10_to_trt_auto.json,/home/kmika/Models/EvaluationRuns/v2784_7model_b500_audit20_launch_20260828_194905_185725341_1413672/runs/complete_set_7models_v2784_b500_audit20_20260828_214941/models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/case_reports/results/b008/results_hailo10_to_trt/validation_report.json,473069170bfd7cb264e49e1708d8faaaa1a9d2a8ab07ed4f63267296662f9a5c,a0cc60473770ed9f4dfc428867247f8d5ee2d7a78db3de165a7fd26752818c88,models/mobilenet_v3_large/benchmark_results/remote_diagnostics/orin_nx_hailo10_01/result_copy_manifest.json
