detail,evidence,id,severity,status
Campaign remains development/screening.,,campaign_mode,informational,development
Campaign claim_scope is evaluated_matrix or ranking_generalization.,"{""explicit"":true,""raw"":""evaluated_matrix"",""scope"":""evaluated_matrix"",""source"":""campaign.claim_scope"",""valid"":true}",claim_scope_valid,required_for_final,pass
The final claim is limited to the explicitly evaluated workload/hardware matrix.,"{""explicit"":true,""raw"":""evaluated_matrix"",""scope"":""evaluated_matrix"",""source"":""campaign.claim_scope"",""valid"":true}",claim_scope,informational,pass
Profile and task-quality policy are marked frozen before the final campaign.,,profile_frozen,required_for_final,deferred
A prospective five-manifest protocol freeze is optional for evaluated_matrix unless explicitly requested.,,protocol_freeze_integrity,informational,not_applicable
No separate post-run campaign archive is required by this profile.,"{""claim_scope"":""evaluated_matrix""}",campaign_freeze_artifact,informational,not_applicable
classification calibration dataset manifest found: /home/kmika/.onnx_splitpoint_tool/final_datasets/v27541_imagenet_n500_s20260710/manifests/imagenet_train_calibration_manifest.json,,dataset_classification_calibration,required_for_final,pass
Dataset manifest task/role/schema match.,,dataset_classification_calibration_schema,required_for_final,pass
Final manifests use per-item content hashes and a non-empty identity hash.,,dataset_classification_calibration_content_hash,required_for_final,pass
Dataset manifest verification passed in sampled mode.,"{""checked_item_count"":24,""created_at"":""2026-08-20T07:04:13+02:00"",""identity_hash_ok"":true,""item_count_ok"":true,""manifest_item_count"":500,""mismatch_count"":0,""mismatch_preview"":[],""missing_count"":0,""missing_preview"":[],""ok"":true,""payload_hash_ok"":true,""sample_size_requested"":24,""schema"":""onnx-splitpoint/dataset-manifest-verification"",""schema_ok"":true,""schema_version"":2,""verification_mode"":""sampled"",""verify_files"":true}",dataset_classification_calibration_current_files,required_for_final,pass
classification validation dataset manifest found: /home/kmika/.onnx_splitpoint_tool/final_datasets/manifests/imagenet_val_manifest.json,,dataset_classification_validation,required_for_final,pass
Dataset manifest task/role/schema match.,,dataset_classification_validation_schema,required_for_final,pass
Final manifests use per-item content hashes and a non-empty identity hash.,,dataset_classification_validation_content_hash,required_for_final,pass
Dataset manifest verification passed in sampled mode.,"{""checked_item_count"":24,""created_at"":""2026-08-20T07:04:17+02:00"",""identity_hash_ok"":true,""item_count_ok"":true,""manifest_item_count"":50000,""mismatch_count"":0,""mismatch_preview"":[],""missing_count"":0,""missing_preview"":[],""ok"":true,""payload_hash_ok"":true,""sample_size_requested"":24,""schema"":""onnx-splitpoint/dataset-manifest-verification"",""schema_ok"":true,""schema_version"":2,""verification_mode"":""sampled"",""verify_files"":true}",dataset_classification_validation_current_files,required_for_final,pass
detection calibration dataset manifest found: /home/kmika/.onnx_splitpoint_tool/final_datasets/manifests/coco2017_train_calibration_manifest.json,,dataset_detection_calibration,required_for_final,pass
Dataset manifest task/role/schema match.,,dataset_detection_calibration_schema,required_for_final,pass
Final manifests use per-item content hashes and a non-empty identity hash.,,dataset_detection_calibration_content_hash,required_for_final,pass
Dataset manifest verification passed in sampled mode.,"{""checked_item_count"":24,""created_at"":""2026-08-20T07:04:18+02:00"",""identity_hash_ok"":true,""item_count_ok"":true,""manifest_item_count"":500,""mismatch_count"":0,""mismatch_preview"":[],""missing_count"":0,""missing_preview"":[],""ok"":true,""payload_hash_ok"":true,""sample_size_requested"":24,""schema"":""onnx-splitpoint/dataset-manifest-verification"",""schema_ok"":true,""schema_version"":2,""verification_mode"":""sampled"",""verify_files"":true}",dataset_detection_calibration_current_files,required_for_final,pass
detection validation dataset manifest found: /home/kmika/.onnx_splitpoint_tool/final_datasets/manifests/coco2017_val_manifest.json,,dataset_detection_validation,required_for_final,pass
Dataset manifest task/role/schema match.,,dataset_detection_validation_schema,required_for_final,pass
Final manifests use per-item content hashes and a non-empty identity hash.,,dataset_detection_validation_content_hash,required_for_final,pass
Dataset manifest verification passed in sampled mode.,"{""checked_item_count"":24,""created_at"":""2026-08-20T07:04:20+02:00"",""identity_hash_ok"":true,""item_count_ok"":true,""manifest_item_count"":5000,""mismatch_count"":0,""mismatch_preview"":[],""missing_count"":0,""missing_preview"":[],""ok"":true,""payload_hash_ok"":true,""sample_size_requested"":24,""schema"":""onnx-splitpoint/dataset-manifest-verification"",""schema_ok"":true,""schema_version"":2,""verification_mode"":""sampled"",""verify_files"":true}",dataset_detection_validation_current_files,required_for_final,pass
Calibration and validation sets are content- and ID-disjoint.,"{""checks"":[{""calibration_count"":500,""content_overlap_count"":0,""content_overlap_preview"":[],""sample_id_overlap_count"":0,""sample_id_overlap_preview"":[],""status"":""pass"",""task"":""classification"",""validation_count"":50000},{""calibration_count"":500,""content_overlap_count"":0,""content_overlap_preview"":[],""sample_id_overlap_count"":0,""sample_id_overlap_preview"":[],""status"":""pass"",""task"":""detection"",""validation_count"":5000}],""created_at"":""2026-08-20T07:04:20+02:00"",""ok"":true,""schema"":""onnx-splitpoint/dataset-separation-report"",""schema_version"":1}",calibration_validation_disjoint,required_for_final,pass
Preprocessing/decoder/NMS contract manifest missing: ,,pipeline_contract_manifest,required_for_final,deferred
At least one development model is declared.,,development_models_present,required_for_final,pass
No model-level hold-out is required because the claim is restricted to the evaluated matrix.,"{""active_holdout_model_ids"":[]}",holdout_models_present,informational,not_applicable
"Prospective hold-out adapter freezing belongs to ranking_generalization, not evaluated_matrix.",,holdout_adapter_sources_frozen,informational,not_applicable
Development and hold-out model IDs are disjoint.,"{""overlap"":[]}",model_role_disjoint,required,pass
Every campaign model has a unique model ID.,"{""model_ids"":[""resnet50"",""yolo26s"",""yolov7_paper""]}",model_ids_unique,required_for_final,pass
Model resnet50 explicitly declares evaluation_role=development or confirmatory_holdout.,,model_role_explicit_resnet50,required_for_final,pass
Model-family transfer is outside the evaluated_matrix claim for resnet50.,,model_family_id_explicit_resnet50,informational,not_applicable
A generalisation scope is not consumed by the evaluated_matrix claim for resnet50.,,model_generalization_scope_explicit_resnet50,informational,not_applicable
Model resnet50 explicitly declares validation_tier.,,model_validation_tier_explicit_resnet50,required_for_final,pass
