model_id,task,case_id,backend,setup_id,run_id,source_run_id,variant,execution_role,technical_status,task_quality_tier,task_quality_status,task_quality_decision,task_quality_gate_reason,contract_gate_reason,eligibility_gate_reason,task_quality_metric,task_quality_candidate,task_quality_reference,task_quality_delta,task_quality_ci_low,task_quality_ci_high,task_quality_margin,task_quality_bootstrap_repetitions_requested,task_quality_bootstrap_repetitions,task_quality_bootstrap_engine,task_quality_bootstrap_skipped_reason,task_quality_bootstrap_elapsed_s,task_quality_ap50_candidate,task_quality_ap50_reference,task_quality_ap50_delta,task_quality_ap50_ci_low,task_quality_ap50_ci_high,task_quality_ap50_margin,task_quality_ap50_decision,task_quality_ap75_candidate,task_quality_ap75_reference,task_quality_ap75_delta,task_quality_ap75_ci_low,task_quality_ap75_ci_high,task_quality_ap75_margin,task_quality_ap75_decision,task_quality_bootstrap_candidate_event_count,task_quality_bootstrap_reference_event_count,validation_requested_count,validation_evaluated_count,validation_cardinality_status,validation_cardinality_pass,contract_consistent,ranking_eligible,exclusion_reason,quality_result_id,source_task_quality_decision,algorithm_version,quality_result_contract_version,metric_gate_config,configured_guardrails,missing_guardrails,guardrail_contract_complete,reference_predictions_sha256,candidate_predictions_sha256,annotations_sha256,source_request_sha256,producer_identity_sha256
resnet50,classification,full,deepx_m1,orin_nx_deepx_m1_01,deepx_m1_full,deepx_m1_full,full,,completed,screening,inconclusive,inconclusive,primary:top1_accuracy:decision:inconclusive;guardrail:top5_accuracy:decision:pass,,,top1_accuracy,0.802,0.812,-0.01,-0.02,0.0,0.01,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,,0.09151309891603887,,,,,,,,,,,,,,,,,,500,,,,,,32554ce492cd6ac2277e23d6f2f7cbe7c6e41ffaed66a7a0ce954a76a79eb458,inconclusive,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,31324cd3af5eea1f8b444719fe2eec2c178532c71d2949185cded4f33a8dc4dd,76dda7ff292d4dbeced4967385462d82dcb3e8aef54eb532b6729189951f4f48,e851500c8d7d1cfb8384be38665ba403b28371cfb9e9f9ce5139697f23d7a523,
resnet50,classification,b001,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.766,0.812,-0.046,-0.046,-0.046,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.21846458897925913,,,,,,,,,,,,,,,,,,500,,,,,,72ad873922e4d22ed36f7acd47c4331a95e47030257c574ea3e9f8e7004192e8,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,ff4002dd1a1d7ccf34d0cc5b9e5b6cbea51e231c73f9efb391a2da0358307a74,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,8238e2dfd1e1158cd590d5db63d460bfb8fb8d90bb57b3fa319b691f6f543668,
resnet50,classification,b003,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.764,0.812,-0.048,-0.048,-0.048,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.12248469691257924,,,,,,,,,,,,,,,,,,500,,,,,,5a2c3d0ba2f8e6bec02af346b789f05e97ebdfb0bd631df1d3b2ce5d86b6ce86,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,3498e32b3a6500d414636a90c3fa47de893c5c8ee59e2651c0470a0cfce994d1,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,f558c00c45a68a926641f571014f8ec5f90541d7f5d2eaccb5a162fd5b609507,
resnet50,classification,b008,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.1609079570043832,,,,,,,,,,,,,,,,,,500,,,,,,0efe2844a645dadba90132f583902a4fdb7a28a7262554b5097ee3bb9ee4bfc7,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,1c54a9d204a32843f9fca7001a73af291cca6d2a4036e2588c488ddc71a933e7,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,3e5318a012568adfbd00147466b409466645721af1de4092449389fe5f676a53,
resnet50,classification,b009,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.76,0.812,-0.052,-0.052,-0.052,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.11923423793632537,,,,,,,,,,,,,,,,,,500,,,,,,5fc9278a0d8eb987747172e34319bf02aabfb27b33d77096ed5550c2c85a8e52,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,4e74deeb7d76690668af72f6b22ef04900daf8cfbbb7cf336c363e87c5be49a8,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,6c8da550e2f57cbfb45acbabcabe127af08888cc45a50f56f497490e5a7cac54,
resnet50,classification,b020,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.764,0.812,-0.048,-0.048,-0.048,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.09340424998663366,,,,,,,,,,,,,,,,,,500,,,,,,65c792e7fa8dfeb1f9eb5ae7fae1161809b8268286244f429d84ea536f044740,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,217c47938cf575b4d7f54a5b43671c257cd0ae910940d45b80b5ebb54824dfbe,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,c13ea25da04aa6c962f2835b27c8186113e48240a586e8b3d8c5bddb4c9bd471,
resnet50,classification,b022,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.764,0.812,-0.048,-0.048,-0.048,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.17830206896178424,,,,,,,,,,,,,,,,,,500,,,,,,274ee6229319eb2b3794833ef04eac4155450d531d85d30cc87cd11fc0b09ac7,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,678e2fb4d460cc2e5a84e81f7a77f46af884456a923d60b3535227df10c157a4,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,cd52d56adba624610b438f85b1c2da97d4abff34a168e0f3ca7aa62a1c3ffbd9,
resnet50,classification,b027,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.14430497796274722,,,,,,,,,,,,,,,,,,500,,,,,,cd98e933e8bd728af8df6f0d824fbf73b412d3499a6c259b7fb06c8c3d858354,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,5d2a7b8217141aa71d61fd54c05be7b9159c1eda07177a3336528416022577f4,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,4fcf4a92ac4eeadcbfa24c74b44abe4df23a6a7c788388580849a87bf0ff6224,
resnet50,classification,b042,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.77,0.812,-0.042,-0.042,-0.042,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.15034195699263364,,,,,,,,,,,,,,,,,,500,,,,,,b606570ee705e77f82427a919ca4d2e8d648b9b5b8737e85e1af0b5a6403fb90,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,96e2629cce18b4a0ec9877096ac2a2c10c45fa07e1260ae59039306a37e583b4,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,472499910bbd8b99345e3acbd2013607b7d87fcb44e3fdd6858b649958b5bd8c,
resnet50,classification,b052,deepx_to_trt,orin_nx_deepx_m1_01,deepx_to_trt,deepx_to_trt,composed,,completed,screening,fail,fail,primary:top1_accuracy:decision:fail;primary:top1_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:decision:fail;guardrail:top5_accuracy:bootstrap_skipped_reason:point_estimate_below_non_inferiority_margin,,,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.08495203603524715,,,,,,,,,,,,,,,,,,500,,,,,,e7440f9cf37b96ea0232fef66101d9604cedbb924e55c2b92d0b414533314043,fail,management_paired_quality_v2:classification-accuracy-v2,2,"{""guardrails"":{""top5_accuracy_margin"":0.01},""non_inferiority_margin"":0.01,""primary_metric"":""top1_accuracy""}","[""top5_accuracy""]",[],True,24df52d0032a21e600cf61db63d747d1ca56a8bd72da3b1829d0fe6f22262d40,a11e344dcd7b1e29ca929c204501bdb1a759dcdebfec41f6fe856f772ac1c8f6,059b455d572771f5264a580d38027ff35c7c066fc160eaec4a249500ac1286e9,785ba2b2fce469b6cb9d9cf1686d631d9c609b948d3ec7b56eff9726ab75f704,
