row_role,model_id,task,evaluation_role,case_id,backend,setup_id,setup_identity_status,setup_identity_candidates,comparison_backend,run_id,variant,runtime_precision_identity,runtime_numeric_input_identity,runtime_numeric_input_sha256,runtime_input_encoding_identity,runtime_input_encoding_sha256,runtime_numeric_input_identity_status,repetition_index,repetition_id,repetition_count_requested,repetition_count_attempted,repetition_count_valid,repetition_status,repetition_aggregation,repetition_runtime_scope,repetition_independence_verified,runner_regime,direction,buildable,runtime_executable,measurement_payload_present,measurement_valid,terminal_failure,terminal_reason,terminal_reason_scope,runner_returncode,runner_signal_number,runtime_failure_evidence_source,runtime_failure_evidence_line_number,contract_consistent,task_quality_tier,task_quality_status,task_quality_decision,task_quality_gate_reason,task_quality_gate_reasons,contract_gate_reason,eligibility_gate_reason,eligibility_status,task_quality_metric,task_quality_candidate,task_quality_reference,task_quality_delta,task_quality_ci_low,task_quality_ci_high,task_quality_margin,task_quality_bootstrap_repetitions_requested,task_quality_bootstrap_repetitions,task_quality_bootstrap_engine,task_quality_bootstrap_skipped_reason,task_quality_bootstrap_elapsed_s,task_quality_bootstrap_candidate_event_count,task_quality_bootstrap_reference_event_count,quality_policy_sha256,runtime_quality_policy_sha256,quality_policy_match,benchmark_task_requested,benchmark_task_used,validation_dataset_task,validation_requested_count,validation_evaluated_count,validation_cardinality_status,validation_cardinality_pass,performance_eligible,performance_claim_eligible,performance_claim_exclusion_reasons,precision_quality_binding_verified,accuracy_gate_pass,ranking_eligible,energy_eligible,energy_claim_eligible,pareto_eligible,exclusion_reason,latency_ms,cycle_ms,throughput_fps,average_power_w,average_power_ci_low_w,average_power_ci_high_w,energy_per_work_j,energy_per_work_sample_stddev_j,energy_per_work_ci_low_j,energy_per_work_ci_high_j,energy_repeat_n,energy_confidence_level,energy_scope,energy_window,prediction_rank,predicted_cycle_ms,predicted_fps,prediction_score,row_status
performance_observation,resnet50,classification,development,full,deepx_m1,orin_nx_deepx_m1_01,,[],,deepx_m1_full,full,deepx_dxnn_sha256:8f9c6b4b6e233ea6758a95588fc2b677413d50e7aed1c486dc8f6e49f859a92e,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1,True,True,,,,,,,,,,False,screening,inconclusive,inconclusive,,[],full_baseline_authoritative_source_source_conflict,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.802,0.812,-0.01,-0.02,0.0,0.01,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,,0.09151309891603887,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,,,,,,,,False,,[],,False,False,False,,False,contract_fail_or_unavailable,3.166321595199406,3.166321595199406,315.8238889935066,,,,,,,,,,,,,,,,available
performance_observation,resnet50,classification,development,b001,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,,[],,deepx_m1_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.766,0.812,-0.046,-0.046,-0.046,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.21846458897925913,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,23.313093185424805,17.11291930405423,58.435383363438724,,,,,,,,,,,,22,39.508164609467144,25.311223892197084,0.08938716750274056,available
performance_observation,resnet50,classification,development,b003,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,,[],,deepx_m1_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.764,0.812,-0.048,-0.048,-0.048,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.12248469691257924,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,28.417444229125977,20.332708825741935,49.18183841466142,,,,,,,,,,,,79,37.66460385508279,26.550126581646,0.37734130097709045,available
performance_observation,resnet50,classification,development,b008,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,,[],,deepx_m1_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.1609079570043832,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,36.69276237487793,27.870736348078303,35.87992751648093,,,,,,,,,,,,71,31.409811825576426,31.837185321362497,0.3354587496725224,available
performance_observation,resnet50,classification,development,b009,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,,[],,deepx_m1_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.76,0.812,-0.052,-0.052,-0.052,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.11923423793632537,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,25.234127044677734,18.093440261588473,55.26864905415214,,,,,,,,,,,,18,31.53511658868329,31.71068028836337,0.03527342864905092,available
performance_observation,resnet50,classification,development,b020,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,,[],,deepx_m1_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.764,0.812,-0.048,-0.048,-0.048,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.09340424998663366,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,27.5968074798584,20.80807852325961,48.05825770419809,,,,,,,,,,,,61,18.202882722282492,54.93635350272741,0.24525374149775042,available
performance_observation,resnet50,classification,development,b022,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,,[],,deepx_m1_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.764,0.812,-0.048,-0.048,-0.048,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.17830206896178424,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,35.573530197143555,28.68720974125292,34.8587404986263,,,,,,,,,,,,59,16.337128678237303,61.21026648532802,0.23316154471623243,available
performance_observation,resnet50,classification,development,b027,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,,[],,deepx_m1_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.14430497796274722,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,23.502349853515625,17.326432262527067,57.71528638141858,,,,,,,,,,,,53,9.518018930680995,105.0638801291449,0.18507073912536787,available
performance_observation,resnet50,classification,development,b042,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,,[],,deepx_m1_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.77,0.812,-0.042,-0.042,-0.042,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.15034195699263364,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,19.588518142700195,14.743352653053792,67.82717768016421,,,,,,,,,,,,30,4.727690049570109,211.51978863143333,0.13429673580452095,available
performance_observation,resnet50,classification,development,b052,deepx_m1_to_tensorrt,orin_nx_deepx_m1_01,,[],,deepx_m1_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.768,0.812,-0.044,-0.044,-0.044,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.08495203603524715,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,15.598344802856445,12.92496095613941,77.36967278999755,,,,,,,,,,,,1,4.437384606028305,225.3579729468285,-0.1711425808259156,available
