endpoint_id,model_id,case_id,setup_id,backend,direction,precision,endpoint_contract_hash,planned,materialized,measurement_payload_present,measured,valid_measurement,terminal,terminal_failure,lifecycle_status,terminal_reason,terminal_reason_scope,measurement_evidence_status,technical_measurement_valid,eligible_for_technical_observation,runner_returncode,causal_backend,causal_hw_arch,builder_backend,plan_evidence,materialization_evidence_count,measurement_evidence_count,valid_measurement_evidence_count,terminal_evidence_count
generic:resnet50:ort_tensorrt:b119,resnet50,b119,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b119"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b119"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b008,resnet50,b008,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b008"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b008"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b056,resnet50,b056,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b056"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b056"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b118,resnet50,b118,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b118"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b118"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b001,resnet50,b001,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b001"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b001"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b003,resnet50,b003,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b003"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b003"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b009,resnet50,b009,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b009"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b009"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b022,resnet50,b022,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b022"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b022"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b027,resnet50,b027,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b027"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b027"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b042,resnet50,b042,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b042"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b042"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b050,resnet50,b050,,ort_tensorrt,ort_tensorrt,,,True,False,False,False,False,True,True,terminal_without_measurement,legacy_case_rejected:hailo_hef_build_failed,case_generation,payload_missing,False,False,3,hailo8,hailo8,venv,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b050"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b050"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",0,0,0,1
generic:resnet50:ort_tensorrt:b054,resnet50,b054,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b054"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b054"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b068,resnet50,b068,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b068"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b068"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b074,resnet50,b074,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b074"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b074"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b078,resnet50,b078,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b078"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b078"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b091,resnet50,b091,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b091"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b091"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b095,resnet50,b095,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b095"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b095"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b107,resnet50,b107,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b107"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b107"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b112,resnet50,b112,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b112"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b112"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
generic:resnet50:ort_tensorrt:b020,resnet50,b020,,ort_tensorrt,ort_tensorrt,,,True,True,True,True,True,True,False,measured,measurement_available,,valid,True,True,,,,,"{""backend"":""ort_tensorrt"",""candidate_execution_roles"":[""audit""],""candidate_origin"":""score_independent_audit"",""case_id"":""b020"",""direction"":""ort_tensorrt"",""endpoint_id"":""generic:resnet50:ort_tensorrt:b020"",""endpoint_scope"":""generic_split"",""model_id"":""resnet50"",""run_profile_id"":""ort_tensorrt""}",1,1,1,0
