row_role,model_id,model_identity_resolved,setup_id,source_run_id,source_release,diagnostic_only,declared_claim_eligible,task,evaluation_role,case_id,backend,setup_identity_status,setup_identity_candidates,comparison_backend,run_id,variant,runtime_precision_identity,runtime_numeric_input_identity,runtime_numeric_input_sha256,runtime_input_encoding_identity,runtime_input_encoding_sha256,runtime_numeric_input_identity_status,repetition_index,repetition_id,repetition_count_requested,repetition_count_attempted,repetition_count_valid,repetition_status,repetition_aggregation,repetition_runtime_scope,repetition_independence_verified,runner_regime,direction,buildable,runtime_executable,measurement_payload_present,measurement_valid,terminal_failure,terminal_reason,terminal_reason_scope,runner_returncode,runner_signal_number,runtime_failure_evidence_source,runtime_failure_evidence_line_number,contract_consistent,task_quality_tier,task_quality_status,task_quality_decision,task_quality_gate_reason,task_quality_gate_reasons,contract_gate_reason,eligibility_gate_reason,eligibility_status,task_quality_metric,task_quality_candidate,task_quality_reference,task_quality_delta,task_quality_ci_low,task_quality_ci_high,task_quality_margin,task_quality_bootstrap_repetitions_requested,task_quality_bootstrap_repetitions,task_quality_bootstrap_engine,task_quality_bootstrap_skipped_reason,task_quality_bootstrap_elapsed_s,task_quality_bootstrap_candidate_event_count,task_quality_bootstrap_reference_event_count,quality_policy_sha256,runtime_quality_policy_sha256,quality_policy_match,benchmark_task_requested,benchmark_task_used,validation_dataset_task,validation_requested_count,validation_evaluated_count,validation_cardinality_status,validation_cardinality_pass,performance_eligible,performance_claim_eligible,performance_claim_exclusion_reasons,precision_quality_binding_verified,accuracy_gate_pass,ranking_eligible,energy_eligible,energy_claim_eligible,pareto_eligible,exclusion_reason,latency_ms,cycle_ms,throughput_fps,average_power_w,raw_average_power_w,host_normalized_average_power_est_w,average_power_ci_low_w,average_power_ci_high_w,energy_per_work_j,raw_energy_per_work_j,host_normalized_energy_per_work_est_j,energy_comparison_basis,energy_comparison_status,energy_comparison_claim_ready,energy_per_work_sample_stddev_j,energy_per_work_ci_low_j,energy_per_work_ci_high_j,energy_repeat_n,energy_confidence_level,energy_scope,energy_window,prediction_rank,predicted_cycle_ms,predicted_fps,prediction_score,row_status,contract_hash,preprocessing_hash,decoder_hash,nms_hash,pipeline_contract_sha256,pipeline_preprocessing_sha256,pipeline_decoder_sha256,pipeline_nms_sha256,quality_contract_sha256,preprocessing_contract_sha256,decoder_contract_sha256,nms_contract_sha256,source_request_sha256,model_sha256,validation_dataset_sha256,validation_dataset_image_ids_sha256,validation_dataset_ground_truth_sha256,accuracy_gate_policy_sha256,task_quality_policy_sha256,runtime_quality_gate_policy_sha256,validation_input_or_image_sha256,energy_quality_qualified,energy_quality_status,native_energy_after_technical_error,prepared_feed_task,prepared_feed_preprocess_mode,prepared_feed_letterbox_pad_value,prepared_feed_source_image_sha256,prepared_feed_identity_source,execution_mode,precision,precision_role,execution_precision,split_boundary_precision,full_runtime_precision,comparison_precision,legacy_comparison_precision,runtime_precision_status,output_endpoint_id,stage,contract_family,endpoint_contract_hash,endpoint_contract_complete,output_endpoint_match,physical_output_endpoint_id,physical_endpoint_contract_hash,physical_endpoint_stage,physical_endpoint_contract_complete,physical_output_endpoint_match,physical_endpoint_identity_status,comparison_output_endpoint_id,comparison_endpoint_contract_hash,comparison_endpoint_stage,completion_pairing_eligible,completion_pairing_status,completion_pairing_validation_status,central_quality_evidence_verified,precision_quality_verified,task_quality_observation_valid,quality_claim_result_verified,quality_verified,quality_provenance_complete,quality_gate_status,native_validation_join_status,target_duration_s,active_duration_s,active_duration_relative_tolerance,active_duration_comparison_policy,active_duration_tolerance_source,energy_total_j,raw_energy_total_j,scientific_primary_method,scientific_primary_method_frozen,scientific_primary_contract_generation,scientific_shadow_method,scientific_shadow_role,scientific_shadow_energy_status,scientific_shadow_valid_run_count,scientific_shadow_affects_primary_claim,scientific_shadow_affects_primary_result,scientific_shadow_affects_final_gate,shadow_energy_per_work_j,shadow_energy_total_j,energy_work_units,energy_work_units_source,energy_window_effective,energy_calibration_sha256,energy_calibration_verified,energy_calibration_manifest,energy_calibration_status,energy_calibration_required,external_calibration_verified,external_calibration_status,energy_primary_metric,energy_calibrated_input_unsubtracted,primary_energy_input_verified,energy_raw_primary,scientific_primary_energy_status,scientific_primary_claim_eligible,energy_dynamic_j,host_normalized_energy_est_j,energy_repeat_valid_n,energy_repeat_requested_n,energy_repeat_observed_n,energy_repeat_status,screening_comparable,claim_comparable,energy_ab_status,energy_ab_valid_n,ab_energy_relative_percent_mean,ab_energy_relative_percent_ci_low,ab_energy_relative_percent_ci_high,measurement_ok,measurement_status,measurement_failure_reason,measurement_failure_category,measurement_run_rc,postprocess_status,collector_reported_final_energy_gate_status,final_energy_gate_status,energy_aggregate_status,scientific_claim_exclusion_reasons,source_path,source_kind,native_semantic_gate
performance_observation,mobilenet_v3_large,True,orin_nx_deepx_m1_01,deepx_m1_full,,False,,classification,development,full,deepx_m1,,[],,deepx_m1_full,full,deepx_dxnn_sha256:c2153dd819105e58efc5742d613ff9d51c92cdcbc52046741b423cc6a1149e04,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.67,0.736,-0.066,-0.066,-0.066,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.1300755509873852,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,,,,,,,,False,,[],,False,False,False,,False,contract_fail_or_unavailable,1.5066938009113073,1.5066938009113073,663.7048611968543,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance_observation,mobilenet_v3_large,True,orin_nx_deepx_m1_01,deepx_m1_to_tensorrt,,False,,classification,development,b135,deepx_m1_to_tensorrt,,[],,deepx_m1_to_tensorrt,split,float32_layout_fp16,{},,{},,unavailable,,,,,,,,,,generic,deepx_m1_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.672,0.736,-0.064,-0.064,-0.064,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.09837852203054354,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,4.427099227905273,3.9012881297031012,256.3255947148161,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,1,42.302736001460964,23.639132938480955,3840.0,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance_observation,mobilenet_v3_large,True,,hailo10,,False,,classification,development,full,hailo10,,[],,hailo10,full,hailo_hef_sha256:d6c9060553d69db8257459c90017e64a75a461bbcb3544ac30f867c6b5387361,{},,"{""image_scale"":""imagenet"",""input_dtype"":""float32"",""schema"":""onnx-splitpoint/model-input-encoding-contract"",""schema_version"":1}",9aa116ccc00468785c9bb15e630a792db93a5d888b1d76ba285d028ea83923e8,runtime_input_encoding_only,,,,,,,,,,generic,hailo10,True,True,,,,,,,,,,False,screening,pending_central_evaluation,pending_central_evaluation,,[],endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.6,,,,,0.01,500,0,management_process_pool,delegated_to_central_management,,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,9.426212310791016,9.426212310791016,106.08715006930322,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance_observation,mobilenet_v3_large,True,orin_nx_hailo10_01,hailo10,,False,,classification,development,full,hailo10,,[],,hailo10,full,hailo_hef_sha256:d6c9060553d69db8257459c90017e64a75a461bbcb3544ac30f867c6b5387361,{},,"{""image_scale"":""imagenet"",""input_dtype"":""float32"",""schema"":""onnx-splitpoint/model-input-encoding-contract"",""schema_version"":1}",9aa116ccc00468785c9bb15e630a792db93a5d888b1d76ba285d028ea83923e8,runtime_input_encoding_only,,,,,,,,,,generic,hailo10,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.6,0.736,-0.136,-0.136,-0.136,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.10586592298932374,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,9.426212310791016,9.426212310791016,106.08715006930322,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance_observation,mobilenet_v3_large,True,orin_nx_hailo10_01,hailo10_to_tensorrt,,False,,classification,development,b135,hailo10_to_tensorrt,,[],,hailo10_to_tensorrt,split,,{},,{},,unavailable,,,,,,,,,,generic,hailo10h_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",explicit_hailo_trt_interface_contract,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.592,0.736,-0.144,-0.144,-0.144,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.02089370199246332,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,5.254077911376953,4.8539839133255835,206.01633995009996,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,1,42.302736001460964,23.639132938480955,3840.0,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance_observation,mobilenet_v3_large,True,,hailo8,,False,,classification,development,full,hailo8,,[],,hailo8,full,hailo_hef_sha256:4cecafe8cfb53a90a2bb01e23d0f7193568f548bd4a56e050456ab88fc7e6864,{},,"{""image_scale"":""imagenet"",""input_dtype"":""float32"",""schema"":""onnx-splitpoint/model-input-encoding-contract"",""schema_version"":1}",9aa116ccc00468785c9bb15e630a792db93a5d888b1d76ba285d028ea83923e8,runtime_input_encoding_only,,,,,,,,,,generic,hailo8,True,True,,,,,,,,,,False,screening,pending_central_evaluation,pending_central_evaluation,,[],endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.6,,,,,0.01,500,0,management_process_pool,delegated_to_central_management,,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,8.515691757202148,8.515691757202148,117.4302720802746,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance_observation,mobilenet_v3_large,True,orin_nx_hailo8_01,hailo8,,False,,classification,development,full,hailo8,,[],,hailo8,full,hailo_hef_sha256:4cecafe8cfb53a90a2bb01e23d0f7193568f548bd4a56e050456ab88fc7e6864,{},,"{""image_scale"":""imagenet"",""input_dtype"":""float32"",""schema"":""onnx-splitpoint/model-input-encoding-contract"",""schema_version"":1}",9aa116ccc00468785c9bb15e630a792db93a5d888b1d76ba285d028ea83923e8,runtime_input_encoding_only,,,,,,,,,,generic,hailo8,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",endpoint_contract_incomplete,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.6,0.736,-0.136,-0.136,-0.136,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.09418144595110789,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,8.515691757202148,8.515691757202148,117.4302720802746,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance_observation,mobilenet_v3_large,True,orin_nx_hailo8_01,hailo8_to_trt,,False,,classification,development,b135,hailo8_to_tensorrt,,[],hailo8,hailo8_to_trt,split,float32_layout_fp16,{},,"{""image_scale"":""imagenet"",""input_dtype"":""float32"",""schema"":""onnx-splitpoint/model-input-encoding-contract"",""schema_version"":1}",9aa116ccc00468785c9bb15e630a792db93a5d888b1d76ba285d028ea83923e8,runtime_input_encoding_only,,,,,,,,,,generic,hailo8_to_tensorrt,True,True,,,,,,,,,,False,screening,fail,fail,primary:top1_accuracy:point_estimate_below_non_inferiority_margin;guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin,"[""primary:top1_accuracy:point_estimate_below_non_inferiority_margin"",""guardrail:top5_accuracy:top5_accuracy:point_estimate_below_non_inferiority_margin""]",explicit_hailo_trt_interface_contract,contract_fail_or_unavailable,contract_fail_or_unavailable,top1_accuracy,0.596,0.736,-0.14,-0.14,-0.14,0.01,500,0,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,point_estimate_below_non_inferiority_margin,0.015220990986563265,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,False,False,False,,False,contract_fail_or_unavailable,8.594036102294922,7.814568864308637,127.9661127010199,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,1,42.302736001460964,23.639132938480955,3840.0,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance_observation,mobilenet_v3_large,True,orin_nx_deepx_m1_01,ort_tensorrt,,False,,classification,development,b135,tensorrt,,[],,ort_tensorrt,split,fp16,{},,"{""image_scale"":""imagenet"",""input_dtype"":""float32"",""schema"":""onnx-splitpoint/model-input-encoding-contract"",""schema_version"":1}",9aa116ccc00468785c9bb15e630a792db93a5d888b1d76ba285d028ea83923e8,runtime_input_encoding_only,,,,,,,,,,generic,tensorrt_to_tensorrt,True,True,,,,,,,,,,True,screening,pass,pass,,[],explicit_structural_contract_field,screening_only,screening_only,top1_accuracy,0.734,0.736,-0.002,-0.006,0.0,0.01,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,,0.11702192097436637,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,True,False,False,,False,screening_only,1.9601821899414062,1.5919685363769531,628.1531180734439,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,1,42.302736001460964,23.639132938480955,3840.0,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance_observation,mobilenet_v3_large,True,orin_nx_deepx_m1_01,ort_tensorrt,,False,,classification,development,full,tensorrt,,[],,ort_tensorrt,full,fp16,{},,"{""image_scale"":""imagenet"",""input_dtype"":""float32"",""schema"":""onnx-splitpoint/model-input-encoding-contract"",""schema_version"":1}",9aa116ccc00468785c9bb15e630a792db93a5d888b1d76ba285d028ea83923e8,runtime_input_encoding_only,,,,,,,,,,generic,tensorrt,True,True,,,,,,,,,,True,screening,pass,pass,,[],explicit_structural_contract_field,screening_only,screening_only,top1_accuracy,0.734,0.736,-0.002,-0.006,0.0,0.01,500,500,management_process_pool:onnx_splitpoint_tool.quality_metrics:classification_quality_evaluator,,0.09131485101534054,,,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,58bf34c5760ed51e4ff35faee4055891caf624b2722cb375df9d419863efa9c4,True,classification,classification,classification,500,500,pass,True,False,,[],,True,False,False,,False,screening_only,1.6603469848632812,1.6603469848632812,602.2837449741528,,,,,,,,,raw_measured,raw_energy_unavailable,False,,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
