model_id,case_id,run_id,variant,task,execution_role,backend,setup_id,producer_identity_sha256,producer_binding_eligible,technical_status,scientific_status,decision,delta,ci_low,ci_high,decision_basis,gate_bound_value,ci_computed,uncertainty_status,margin,bootstrap_repetitions,cache_hit,error
mobilenet_v3_large,b027,deepx_to_trt,composed,classification,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,fail,fail,-0.0148,,,point_estimate_below_non_inferiority_margin,-0.0148,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,b027,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,e95ba195de9c100f534cf255f5eeb8a302b77d15828e945d090f120ef27aeb78,True,completed,pass,pass,-0.0006,-0.0018,0.0006,paired_bootstrap_lower_bound,-0.0018,True,computed_bootstrap,0.01,5000,False,
mobilenet_v3_large,b027,ort_tensorrt,full,classification,,,orin_nx_deepx_m1_01,,False,completed,pass,pass,-0.001,-0.002,0.0,paired_bootstrap_lower_bound,-0.002,True,computed_bootstrap,0.01,5000,False,
mobilenet_v3_large,b056,deepx_to_trt,composed,classification,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,fail,fail,-0.0142,,,point_estimate_below_non_inferiority_margin,-0.0142,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,b056,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,de5752bbb1a01d8f82183e8c6a25f4b228c607ddc0b6a0f757e8256fd636283e,True,completed,pass,pass,-0.0014,-0.0024,-0.0004,paired_bootstrap_lower_bound,-0.0024,True,computed_bootstrap,0.01,5000,False,
mobilenet_v3_large,b135,deepx_to_trt,composed,classification,,deepx_to_trt,orin_nx_deepx_m1_01,,True,completed,fail,fail,-0.0206,,,point_estimate_below_non_inferiority_margin,-0.0206,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,b135,ort_tensorrt,composed,classification,generic_composed_quality_candidate,ort_tensorrt,orin_nx_deepx_m1_01,509a5a9a02f515bca8f0d77b26cdb08b4f9f88c6a6597ad1958c200e40c0927f,True,completed,pass,pass,-0.0006,-0.0016,0.0004,paired_bootstrap_lower_bound,-0.0016,True,computed_bootstrap,0.01,5000,False,
mobilenet_v3_large,full,deepx_m1_full,full,classification,,deepx_m1,orin_nx_deepx_m1_01,,False,completed,fail,fail,-0.0198,,,point_estimate_below_non_inferiority_margin,-0.0198,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_deepx_m1_01,849b8239e87cec3cefa0ab2ecf4455211b9da8f8af36d622ab0ab2114277094d,True,completed,pass,pass,-0.001,-0.002,0.0,paired_bootstrap_lower_bound,-0.002,True,computed_bootstrap,0.01,5000,False,
mobilenet_v3_large,b027,hailo10,full,classification,,,orin_nx_hailo10_01,,False,completed,fail,fail,-0.1428,,,point_estimate_below_non_inferiority_margin,-0.1428,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,b027,hailo10h_to_trt,composed,classification,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,fail,fail,-0.0148,,,point_estimate_below_non_inferiority_margin,-0.0148,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,b056,hailo10h_to_trt,composed,classification,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,fail,fail,-0.0228,,,point_estimate_below_non_inferiority_margin,-0.0228,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,b135,hailo10h_to_trt,composed,classification,,hailo10h_to_trt,orin_nx_hailo10_01,,True,completed,fail,fail,-0.1396,,,point_estimate_below_non_inferiority_margin,-0.1396,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,full,native_full_tensorrt,full,classification,full_quality_only,tensorrt,orin_nx_hailo10_01,66416b7e6af57fd393849a9bb835b8a364df280d56998fa7c61a2877c61be6e6,True,completed,pass,pass,-0.0006,-0.0014,0.0002,paired_bootstrap_lower_bound,-0.0014,True,computed_bootstrap,0.01,5000,False,
mobilenet_v3_large,b027,hailo8,full,classification,,,orin_nx_hailo8_01,,False,completed,fail,fail,-0.1308,,,point_estimate_below_non_inferiority_margin,-0.1308,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,b027,hailo8_to_trt,composed,classification,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,fail,fail,-0.0212,,,point_estimate_below_non_inferiority_margin,-0.0212,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,b056,hailo8_to_trt,composed,classification,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,fail,fail,-0.0232,,,point_estimate_below_non_inferiority_margin,-0.0232,False,not_computed_fast_fail,0.01,0,False,
mobilenet_v3_large,b135,hailo8_to_trt,composed,classification,,hailo8_to_trt,orin_nx_hailo8_01,,True,completed,fail,fail,-0.1302,,,point_estimate_below_non_inferiority_margin,-0.1302,False,not_computed_fast_fail,0.01,0,False,
